lesson_id,topic_id,course_id,track_id,profession_id,faculty_id
8560be72-893f-4ee8-bc6e-3348f8f33487,f92cb565-7d8c-431f-b944-1ac103f5ecde,e086a565-2920-4535-a5a3-5b89c340358a,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
2cac9355-5811-4e2f-86da-456cddee6b97,f92cb565-7d8c-431f-b944-1ac103f5ecde,e086a565-2920-4535-a5a3-5b89c340358a,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
508f356d-0b36-4386-8db7-6e1ea9c7d144,f92cb565-7d8c-431f-b944-1ac103f5ecde,e086a565-2920-4535-a5a3-5b89c340358a,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
93a80979-48e0-4394-b8d8-c1ef6f651bd3,f92cb565-7d8c-431f-b944-1ac103f5ecde,e086a565-2920-4535-a5a3-5b89c340358a,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
e1dfa44a-7efb-4248-a9c8-ce0f3ed5a73a,f92cb565-7d8c-431f-b944-1ac103f5ecde,e086a565-2920-4535-a5a3-5b89c340358a,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
ce39efc3-8345-42a6-821f-7c1d13c68316,95f02702-0434-44d0-b2f3-237d29dccc66,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
8a6c8951-5c11-4539-b23f-724bcec3df8a,95f02702-0434-44d0-b2f3-237d29dccc66,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
a07fd558-e36d-43df-b9e7-32b41a04c787,95f02702-0434-44d0-b2f3-237d29dccc66,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
189d6856-ce1d-404f-99c1-6cf6c0f047b4,95f02702-0434-44d0-b2f3-237d29dccc66,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
af9694d2-264e-4883-a41c-a3e990b356ba,95f02702-0434-44d0-b2f3-237d29dccc66,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
54aed584-1904-4e66-b7a4-db4c72e5f40a,8c4fff68-9086-4ba9-a88e-a9bdc8f9a101,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
12cac56a-6ad7-4152-99aa-49aa4dd5ec10,8c4fff68-9086-4ba9-a88e-a9bdc8f9a101,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
fdd7ba15-ec06-4996-b59d-ab70938f0b44,8c4fff68-9086-4ba9-a88e-a9bdc8f9a101,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
3d069f00-1170-4b26-a555-7b6161c7aa0a,8c4fff68-9086-4ba9-a88e-a9bdc8f9a101,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
f6e10c23-28bc-4b01-ab4d-c62d50795986,8c4fff68-9086-4ba9-a88e-a9bdc8f9a101,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
f57edf5f-b115-441d-9b41-a1a402efcf53,8c4fff68-9086-4ba9-a88e-a9bdc8f9a101,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
1e21a3b2-af0a-41a0-bf72-b042d09d8e90,8c4fff68-9086-4ba9-a88e-a9bdc8f9a101,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
0b1605bf-feb5-4772-ae7a-e41253d42fd4,8c4fff68-9086-4ba9-a88e-a9bdc8f9a101,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
18d8c378-de83-48f3-a188-431ef4dc0f46,8c4fff68-9086-4ba9-a88e-a9bdc8f9a101,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
ad6b87c7-f072-46f5-8e46-d024f7dc54da,8c4fff68-9086-4ba9-a88e-a9bdc8f9a101,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
5f9368af-8ee2-4219-9b1e-5d6f0f67ed19,8c4fff68-9086-4ba9-a88e-a9bdc8f9a101,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
