lesson_id,topic_id,course_id,track_id,profession_id,faculty_id
7c1ccf3f-76db-445b-b73d-c6f0fd95a92f,f12f9101-68b6-4d00-bae5-4f0333d15287,74e63dac-5092-435e-adca-621add6c5477,8a985e66-7101-4667-b52a-897e6637bec1,809f5bef-b66e-489c-b9df-79816a009fda,81145820-8628-4f10-b9df-19678ce626d4
83c4c3e0-ca8d-4305-9be2-4373e0df1c25,f12f9101-68b6-4d00-bae5-4f0333d15287,74e63dac-5092-435e-adca-621add6c5477,8a985e66-7101-4667-b52a-897e6637bec1,809f5bef-b66e-489c-b9df-79816a009fda,81145820-8628-4f10-b9df-19678ce626d4
78a19a36-c34a-4c4b-94a6-948ee966043b,f12f9101-68b6-4d00-bae5-4f0333d15287,74e63dac-5092-435e-adca-621add6c5477,8a985e66-7101-4667-b52a-897e6637bec1,809f5bef-b66e-489c-b9df-79816a009fda,81145820-8628-4f10-b9df-19678ce626d4
5fbf5036-200b-4a00-ab16-df4d78acfb8d,f12f9101-68b6-4d00-bae5-4f0333d15287,74e63dac-5092-435e-adca-621add6c5477,8a985e66-7101-4667-b52a-897e6637bec1,809f5bef-b66e-489c-b9df-79816a009fda,81145820-8628-4f10-b9df-19678ce626d4
6efcc804-c718-49b2-8653-56c966c66a1d,f12f9101-68b6-4d00-bae5-4f0333d15287,74e63dac-5092-435e-adca-621add6c5477,8a985e66-7101-4667-b52a-897e6637bec1,809f5bef-b66e-489c-b9df-79816a009fda,81145820-8628-4f10-b9df-19678ce626d4
03ff946b-f432-486b-8d11-8a8bf007cc0e,f12f9101-68b6-4d00-bae5-4f0333d15287,74e63dac-5092-435e-adca-621add6c5477,8a985e66-7101-4667-b52a-897e6637bec1,809f5bef-b66e-489c-b9df-79816a009fda,81145820-8628-4f10-b9df-19678ce626d4
0a70a7bb-4630-4127-acda-950c9b49ba3b,f12f9101-68b6-4d00-bae5-4f0333d15287,74e63dac-5092-435e-adca-621add6c5477,8a985e66-7101-4667-b52a-897e6637bec1,809f5bef-b66e-489c-b9df-79816a009fda,81145820-8628-4f10-b9df-19678ce626d4
9a3d78a5-f8ff-435b-84e5-69edd77fdd76,f12f9101-68b6-4d00-bae5-4f0333d15287,74e63dac-5092-435e-adca-621add6c5477,8a985e66-7101-4667-b52a-897e6637bec1,809f5bef-b66e-489c-b9df-79816a009fda,81145820-8628-4f10-b9df-19678ce626d4
aebcafb3-e54b-4af3-b45c-d346d062be5d,f12f9101-68b6-4d00-bae5-4f0333d15287,74e63dac-5092-435e-adca-621add6c5477,8a985e66-7101-4667-b52a-897e6637bec1,809f5bef-b66e-489c-b9df-79816a009fda,81145820-8628-4f10-b9df-19678ce626d4
3c62f9ae-8dd0-429d-a115-4b2173a44e58,f1f69187-1dd8-4a52-9e97-dce4c2a2b237,840cd84f-cde5-491d-a18e-9ba4ddcaea7b,8a985e66-7101-4667-b52a-897e6637bec1,809f5bef-b66e-489c-b9df-79816a009fda,81145820-8628-4f10-b9df-19678ce626d4
